Portfolio,Level0,StrategyID,Strategy,Deal No,Percentage
YBA,Active Management,30,Offset Swaps,4724951,100
YBA,Active Management,30,Offset Swaps,3979755,100
YBA,Active Management,30,Offset Swaps,3824641,100
YBA,Active Management,30,Offset Swaps,4674034,100
EBA,Active Management,43,OBL 10/20 into FMS 10/20,4789030,100
EBA,Active Management,43,OBL 10/20 into FMS 10/20,4789108,100
EBA,Active Management,43,OBL 10/20 into FMS 10/20,4789109,100
EBA,Active Management,43,OBL 10/20 into FMS 10/20,4789031,100
EBA,Active Management,43,OBL 10/20 into FMS 10/20,4789110,100
EBA,Active Management,46,2yr France into IBRD,4682620,100
NA,NA,NA,NA,NA,NA
EBA,Active Management,49,Legacy bonds,4067463,100
EBA,Active Management,49,Legacy bonds,4056866,100
EBA,Active Management,49,Legacy bonds,4721844,100
EBA,Active Management,49,Legacy bonds,4602441,100
EBA,Active Management,49,Legacy bonds,4291241,100
EBA,Active Management,49,Legacy bonds,4291242,100
EBA,Active Management,49,Legacy bonds,4015115,100
EBA,Active Management,49,Legacy bonds,4015139,100
EBA,Active Management,49,Legacy bonds,3987358,100
EBA,Active Management,49,Legacy bonds,3969709,100
EBA,Active Management,49,Legacy bonds,3966964,100
EBA,Active Management,49,Legacy bonds,3888638,100
EBA,Active Management,49,Legacy bonds,3868040,100
EBA,Active Management,49,Legacy bonds,3848515,100
EBA,Active Management,49,Legacy bonds,3800964,100
EBA,Active Management,49,Legacy bonds,3786273,100
EBA,Active Management,49,Legacy bonds,4412457,100
EBA,Active Management,49,Legacy bonds,4285699,100
EBA,Active Management,49,Legacy bonds,4075486,100
EBA,Active Management,49,Legacy bonds,4061302,100
EBA,Active Management,49,Legacy bonds,4050616,100
EBA,Active Management,49,Legacy bonds,4050823,100
EBA,Active Management,49,Legacy bonds,4050630,100
EBA,Active Management,49,Legacy bonds,4043702,100
EBA,Active Management,49,Legacy bonds,4043872,100
EBA,Active Management,49,Legacy bonds,4726934,100
EBA,Active Management,49,Legacy bonds,4726951,100
EBA,Active Management,49,Legacy bonds,4709887,100
EBA,Active Management,49,Legacy bonds,4645876,100
EBA,Active Management,49,Legacy bonds,4646971,100
EBA,Active Management,49,Legacy bonds,4726922,100
EBA,Active Management,49,Legacy bonds,4726949,100
EBA,Active Management,49,Legacy bonds,4709885,100
EBA,Active Management,49,Legacy bonds,4646734,100
EBA,Active Management,49,Legacy bonds,4646977,100
EBA,Active Management,49,Legacy bonds,4723597,100
EBA,Active Management,49,Legacy bonds,4720038,100
EBA,Active Management,49,Legacy bonds,4720039,100
EBA,Active Management,49,Legacy bonds,4569785,100
EBA,Active Management,49,Legacy bonds,4569923,100
EBA,Active Management,49,Legacy bonds,4071532,100
EBA,Active Management,49,Legacy bonds,3957361,100
EBA,Active Management,49,Legacy bonds,3957362,100
EBA,Active Management,49,Legacy bonds,3935044,100
EBA,Active Management,49,Legacy bonds,3935051,100
EBA,Active Management,49,Legacy bonds,3933569,100
EBA,Active Management,49,Legacy bonds,3921624,100
EBA,Active Management,49,Legacy bonds,3914252,100
EBA,Active Management,49,Legacy bonds,3907882,100
EBA,Active Management,49,Legacy bonds,3903384,100
EBA,Active Management,49,Legacy bonds,3903385,100
EBA,Active Management,49,Legacy bonds,3914253,100
EBA,Active Management,49,Legacy bonds,4186838,100
EBA,Active Management,49,Legacy bonds,4035840,100
EBA,Active Management,49,Legacy bonds,4015145,100
EBA,Active Management,49,Legacy bonds,4009516,100
EBA,Active Management,49,Legacy bonds,4008871,100
EBA,Active Management,49,Legacy bonds,3987359,100
